,Context,Reply
237,"Friend (Priyanka): No
I asked ok tell what you texted. He said no he won't. I said I'll ask you
He bet you won't share

Meghana: 😎😎😎😎
Angane
😂😂

Friend (Priyanka): I was like I know my sister better or you

Meghana: Oh, ippo manasilaayi🤭

Friend (Priyanka): Ya.. that's all
People here actually like your dressing sense though

","I’m btw looking for guys 👀 
Do you know anyone that I might like🤔
😎😎😎😎😎😎
I have become one shopaholic😭
But it’s okay, only one life no😪
Later I’ll have education of kids to take care of
"
238,"Friend (Priyanka): I was like I know my sister better or you

Meghana: Oh, ippo manasilaayi🤭

Friend (Priyanka): Ya.. that's all
People here actually like your dressing sense though

Meghana: I’m btw looking for guys 👀 
Do you know anyone that I might like🤔
😎😎😎😎😎😎
I have become one shopaholic😭
But it’s okay, only one life no😪
Later I’ll have education of kids to take care of

Friend (Priyanka): Not anyone among my friends 😂🙏🏼
😂😂😂😂😂
Lol

","😂😂😂😂😂 sad😪
Not kidding😪
"
239,"Friend (Priyanka): Ya.. that's all
People here actually like your dressing sense though

Meghana: I’m btw looking for guys 👀 
Do you know anyone that I might like🤔
😎😎😎😎😎😎
I have become one shopaholic😭
But it’s okay, only one life no😪
Later I’ll have education of kids to take care of

Friend (Priyanka): Not anyone among my friends 😂🙏🏼
😂😂😂😂😂
Lol

Meghana: 😂😂😂😂😂 sad😪
Not kidding😪

Friend (Priyanka): I know, I have all themadis as friends

","Also, Brooklyn Nine Nine is damn fun🤩🤩🤩I’ve been binge watching
I don’t like people who are too good too😵
"
240,"Friend (Priyanka): Not anyone among my friends 😂🙏🏼
😂😂😂😂😂
Lol

Meghana: 😂😂😂😂😂 sad😪
Not kidding😪

Friend (Priyanka): I know, I have all themadis as friends

Meghana: Also, Brooklyn Nine Nine is damn fun🤩🤩🤩I’ve been binge watching
I don’t like people who are too good too😵

Friend (Priyanka): Don't suggest any more shows 🙀
I'm watching black mirror

","It’s damn good🤩🤩
I haven’t watched this yet..how’s it?
"
241,"Friend (Priyanka): I know, I have all themadis as friends

Meghana: Also, Brooklyn Nine Nine is damn fun🤩🤩🤩I’ve been binge watching
I don’t like people who are too good too😵

Friend (Priyanka): Don't suggest any more shows 🙀
I'm watching black mirror

Meghana: It’s damn good🤩🤩
I haven’t watched this yet..how’s it?

Friend (Priyanka): Good
Addictive
Ohoo

","Damn😵 then not starting anything after finishing Brooklyn Nine Nine..once I start a new series, I can’t stop
"
242,"Friend (Priyanka): Don't suggest any more shows 🙀
I'm watching black mirror

Meghana: It’s damn good🤩🤩
I haven’t watched this yet..how’s it?

Friend (Priyanka): Good
Addictive
Ohoo

Meghana: Damn😵 then not starting anything after finishing Brooklyn Nine Nine..once I start a new series, I can’t stop

Friend (Priyanka): You and chinnu chechi are on a hunt I guess

","What hunt?🤭🤭be more specific 👀🤭
"
243,"Friend (Priyanka): Good
Addictive
Ohoo

Meghana: Damn😵 then not starting anything after finishing Brooklyn Nine Nine..once I start a new series, I can’t stop

Friend (Priyanka): You and chinnu chechi are on a hunt I guess

Meghana: What hunt?🤭🤭be more specific 👀🤭

Friend (Priyanka): Hunt for chekans

","I’m on a big time hunt🤭🤭
"
244,"Friend (Priyanka): You and chinnu chechi are on a hunt I guess

Meghana: What hunt?🤭🤭be more specific 👀🤭

Friend (Priyanka): Hunt for chekans

Meghana: I’m on a big time hunt🤭🤭

Friend (Priyanka): 😂😂
Ok.. tell me your requirements
I will become Seema aunty

","I love this idea😘😘😘
Guy should be smart...good english
The first thing that I see...after that it depends on how much spark there is I guee🤔
"
245,"Friend (Priyanka): Hunt for chekans

Meghana: I’m on a big time hunt🤭🤭

Friend (Priyanka): 😂😂
Ok.. tell me your requirements
I will become Seema aunty

Meghana: I love this idea😘😘😘
Guy should be smart...good english
The first thing that I see...after that it depends on how much spark there is I guee🤔

Friend (Priyanka): Arvindh C H, my junior in JC
Now in Google Netherlands

","Omg😮
"
246,"Friend (Priyanka): 😂😂
Ok.. tell me your requirements
I will become Seema aunty

Meghana: I love this idea😘😘😘
Guy should be smart...good english
The first thing that I see...after that it depends on how much spark there is I guee🤔

Friend (Priyanka): Arvindh C H, my junior in JC
Now in Google Netherlands

Meghana: Omg😮

Friend (Priyanka): Excellent English 😅

","Show picture?
Is he mallu by any chance?
Send send👀👀
⏳
"
247,"Friend (Priyanka): Arvindh C H, my junior in JC
Now in Google Netherlands

Meghana: Omg😮

Friend (Priyanka): Excellent English 😅

Meghana: Show picture?
Is he mallu by any chance?
Send send👀👀
⏳

Friend (Priyanka): Not able to find pics 😂

","😭
"
248,"Friend (Priyanka): Excellent English 😅

Meghana: Show picture?
Is he mallu by any chance?
Send send👀👀
⏳

Friend (Priyanka): Not able to find pics 😂

Meghana: 😭

Friend (Priyanka): Kannadiga

","But Netherlands 🤩🤩 that is one of my dream destinations
Check properly
👀
How many years junior to you is he?
"
249,"Friend (Priyanka): Not able to find pics 😂

Meghana: 😭

Friend (Priyanka): Kannadiga

Meghana: But Netherlands 🤩🤩 that is one of my dream destinations
Check properly
👀
How many years junior to you is he?

Friend (Priyanka): One year I think

","Amazing photographer🤩even better
Is he funny?
Or too serious?
Why are you not on dark mode?
How does he look? I can’t say much from that pic 🤔
"
250,"Friend (Priyanka): Kannadiga

Meghana: But Netherlands 🤩🤩 that is one of my dream destinations
Check properly
👀
How many years junior to you is he?

Friend (Priyanka): One year I think

Meghana: Amazing photographer🤩even better
Is he funny?
Or too serious?
Why are you not on dark mode?
How does he look? I can’t say much from that pic 🤔

Friend (Priyanka): Good physic
I don't have the app.. logged in just for you
Ya
A bit

","So I was on a call with Manasa and her boyfriend, I’ve put them also to work 😂😂
"
251,"Friend (Priyanka): One year I think

Meghana: Amazing photographer🤩even better
Is he funny?
Or too serious?
Why are you not on dark mode?
How does he look? I can’t say much from that pic 🤔

Friend (Priyanka): Good physic
I don't have the app.. logged in just for you
Ya
A bit

Meghana: So I was on a call with Manasa and her boyfriend, I’ve put them also to work 😂😂

Friend (Priyanka): 😂
Still awake?

","Was in video call no😂
"
252,"Friend (Priyanka): Good physic
I don't have the app.. logged in just for you
Ya
A bit

Meghana: So I was on a call with Manasa and her boyfriend, I’ve put them also to work 😂😂

Friend (Priyanka): 😂
Still awake?

Meghana: Was in video call no😂

Friend (Priyanka): Bestt
Apparently Mahesh will talk to Velliachan tmrw 😬
Know anyone working for PayPal?

","5 minutes, I need to reply to these properly...we are on video call again..don’t go anywhere
Omg, we stopped talking now😵😵
You there?
"
253,"Friend (Priyanka): 😂
Still awake?

Meghana: Was in video call no😂

Friend (Priyanka): Bestt
Apparently Mahesh will talk to Velliachan tmrw 😬
Know anyone working for PayPal?

Meghana: 5 minutes, I need to reply to these properly...we are on video call again..don’t go anywhere
Omg, we stopped talking now😵😵
You there?

Friend (Priyanka): Oh god
Go sleep
We will talk tomorrow

","No no, tell this
I probably won’t wake up tomorrow only
"
254,"Friend (Priyanka): Bestt
Apparently Mahesh will talk to Velliachan tmrw 😬
Know anyone working for PayPal?

Meghana: 5 minutes, I need to reply to these properly...we are on video call again..don’t go anywhere
Omg, we stopped talking now😵😵
You there?

Friend (Priyanka): Oh god
Go sleep
We will talk tomorrow

Meghana: No no, tell this
I probably won’t wake up tomorrow only

Friend (Priyanka): Bestt

","So I’ll hear and then sleep
Baby🤩🤩🤩😭😭😭why so cute..can they be small again🤩🤩
I am so excited 🤩🤩
But Pakka no?
🤩🤩
"
255,"Friend (Priyanka): Oh god
Go sleep
We will talk tomorrow

Meghana: No no, tell this
I probably won’t wake up tomorrow only

Friend (Priyanka): Bestt

Meghana: So I’ll hear and then sleep
Baby🤩🤩🤩😭😭😭why so cute..can they be small again🤩🤩
I am so excited 🤩🤩
But Pakka no?
🤩🤩

Friend (Priyanka): Meaning?

","That he will call tomorrow only
Because I’m excited
🤩🤩
"
256,"Friend (Priyanka): Bestt

Meghana: So I’ll hear and then sleep
Baby🤩🤩🤩😭😭😭why so cute..can they be small again🤩🤩
I am so excited 🤩🤩
But Pakka no?
🤩🤩

Friend (Priyanka): Meaning?

Meghana: That he will call tomorrow only
Because I’m excited
🤩🤩

Friend (Priyanka): Ya

","🙈🙈🙈🙈
"
257,"Friend (Priyanka): Meaning?

Meghana: That he will call tomorrow only
Because I’m excited
🤩🤩

Friend (Priyanka): Ya

Meghana: 🙈🙈🙈🙈

Friend (Priyanka): Go sleep  then

","Does velliachan no?
*know
"
258,"Friend (Priyanka): Ya

Meghana: 🙈🙈🙈🙈

Friend (Priyanka): Go sleep  then

Meghana: Does velliachan no?
*know

Friend (Priyanka): Ya.. he only asked
Don't tell anyone
Let's sew
I'm going for a walk now

","I won’t 🤐🤐🤐🤫
"
259,"Friend (Priyanka): Go sleep  then

Meghana: Does velliachan no?
*know

Friend (Priyanka): Ya.. he only asked
Don't tell anyone
Let's sew
I'm going for a walk now

Meghana: I won’t 🤐🤐🤐🤫

Friend (Priyanka): 😅

","Abhi’s alarm rang now🤭
"
260,"Friend (Priyanka): Ya.. he only asked
Don't tell anyone
Let's sew
I'm going for a walk now

Meghana: I won’t 🤐🤐🤐🤫

Friend (Priyanka): 😅

Meghana: Abhi’s alarm rang now🤭

Friend (Priyanka): Ei kuttik orakam ilepa
Poyi kedan orangadi

","Illa😭😭
I’m going now
Buhbye
Enjaayyyy the walk
Tata
"
261,"Friend (Priyanka): 😅

Meghana: Abhi’s alarm rang now🤭

Friend (Priyanka): Ei kuttik orakam ilepa
Poyi kedan orangadi

Meghana: Illa😭😭
I’m going now
Buhbye
Enjaayyyy the walk
Tata

Friend (Priyanka): Hmmm bye bye 😘
Tata

","I’ll text tomorrow for deets🤭
"
262,"Friend (Priyanka): Ei kuttik orakam ilepa
Poyi kedan orangadi

Meghana: Illa😭😭
I’m going now
Buhbye
Enjaayyyy the walk
Tata

Friend (Priyanka): Hmmm bye bye 😘
Tata

Meghana: I’ll text tomorrow for deets🤭

Friend (Priyanka): 😂 ok

","😘😘😘😘😘
"
263,"Friend (Priyanka): Hmmm bye bye 😘
Tata

Meghana: I’ll text tomorrow for deets🤭

Friend (Priyanka): 😂 ok

Meghana: 😘😘😘😘😘

Friend (Priyanka): ‎Missed group video call
‎Missed group video call
‎Missed group video call

","Omg, Enikku vayya😮
"
264,"Friend (Priyanka): 😂 ok

Meghana: 😘😘😘😘😘

Friend (Priyanka): ‎Missed group video call
‎Missed group video call
‎Missed group video call

Meghana: Omg, Enikku vayya😮

Friend (Priyanka): 😛
Pookalam sooper

","Thenk you🤭🤭🤭
We put in half an hour🤭
"
265,"Friend (Priyanka): ‎Missed group video call
‎Missed group video call
‎Missed group video call

Meghana: Omg, Enikku vayya😮

Friend (Priyanka): 😛
Pookalam sooper

Meghana: Thenk you🤭🤭🤭
We put in half an hour🤭

Friend (Priyanka): Really?
Then efficient also

","Yes🤭
But we started late
"
266,"Friend (Priyanka): 😛
Pookalam sooper

Meghana: Thenk you🤭🤭🤭
We put in half an hour🤭

Friend (Priyanka): Really?
Then efficient also

Meghana: Yes🤭
But we started late

Friend (Priyanka): Ohh
No ethnic pic?

","So poora theri aayirunnu, entammo😵
"
267,"Friend (Priyanka): Really?
Then efficient also

Meghana: Yes🤭
But we started late

Friend (Priyanka): Ohh
No ethnic pic?

Meghana: So poora theri aayirunnu, entammo😵

Friend (Priyanka): 😂😂😂

","I will show you the kind of pics I got😪
"
268,"Friend (Priyanka): Ohh
No ethnic pic?

Meghana: So poora theri aayirunnu, entammo😵

Friend (Priyanka): 😂😂😂

Meghana: I will show you the kind of pics I got😪

Friend (Priyanka): Ona thallu

","Full on😭
"
269,"Friend (Priyanka): 😂😂😂

Meghana: I will show you the kind of pics I got😪

Friend (Priyanka): Ona thallu

Meghana: Full on😭

Friend (Priyanka): Did sayak wish you? 😂

","No I think🤔
I’ll check once
"
270,"Friend (Priyanka): Ona thallu

Meghana: Full on😭

Friend (Priyanka): Did sayak wish you? 😂

Meghana: No I think🤔
I’ll check once

Friend (Priyanka): Didn't you get inspired by ahana Krishnan for this?

","But ethnic  pic sheri aayilla😭
😂😂😂😂😂😂why is that?🤔
"
271,"Friend (Priyanka): Did sayak wish you? 😂

Meghana: No I think🤔
I’ll check once

Friend (Priyanka): Didn't you get inspired by ahana Krishnan for this?

Meghana: But ethnic  pic sheri aayilla😭
😂😂😂😂😂😂why is that?🤔

Friend (Priyanka): What Kurti is that
Her insta pics I saw

","It is a set, but looks horrible in this picture
"
272,"Friend (Priyanka): Didn't you get inspired by ahana Krishnan for this?

Meghana: But ethnic  pic sheri aayilla😭
😂😂😂😂😂😂why is that?🤔

Friend (Priyanka): What Kurti is that
Her insta pics I saw

Meghana: It is a set, but looks horrible in this picture

Friend (Priyanka): 😂

","Yeah, but I didn’t get good pics like she did😪
I will show you the kurta set
"
273,"Friend (Priyanka): What Kurti is that
Her insta pics I saw

Meghana: It is a set, but looks horrible in this picture

Friend (Priyanka): 😂

Meghana: Yeah, but I didn’t get good pics like she did😪
I will show you the kurta set

Friend (Priyanka): Send

","This is so beautiful 🤩🤩
And those earrings 🤭
"
274,"Friend (Priyanka): 😂

Meghana: Yeah, but I didn’t get good pics like she did😪
I will show you the kurta set

Friend (Priyanka): Send

Meghana: This is so beautiful 🤩🤩
And those earrings 🤭

Friend (Priyanka): I know rt.. everything else looks full in front of that 😂
I was practicing proper bharatnatyam today. Got scolded by neighbor downstairs

","😂😂😂😂
I love those earrings...even when I wore to office people were like “omg, those earrings “
"
275,"Friend (Priyanka): Send

Meghana: This is so beautiful 🤩🤩
And those earrings 🤭

Friend (Priyanka): I know rt.. everything else looks full in front of that 😂
I was practicing proper bharatnatyam today. Got scolded by neighbor downstairs

Meghana: 😂😂😂😂
I love those earrings...even when I wore to office people were like “omg, those earrings “

Friend (Priyanka): Looks good in this

","What😮😂😂😂😂😂😂😂shit, what did they say?
"
276,"Friend (Priyanka): I know rt.. everything else looks full in front of that 😂
I was practicing proper bharatnatyam today. Got scolded by neighbor downstairs

Meghana: 😂😂😂😂
I love those earrings...even when I wore to office people were like “omg, those earrings “

Friend (Priyanka): Looks good in this

Meghana: What😮😂😂😂😂😂😂😂shit, what did they say?

Friend (Priyanka): Please stop the stomping 😅

","Damn, they must have been like what the hell is going on there
"
277,"Friend (Priyanka): Looks good in this

Meghana: What😮😂😂😂😂😂😂😂shit, what did they say?

Friend (Priyanka): Please stop the stomping 😅

Meghana: Damn, they must have been like what the hell is going on there

Friend (Priyanka): 😂😂😂
Indians only

","I had bought on Myntra...actually I had bought more festive sets, but I think In my mind I kind of knew I wouldn’t take pics, so I didn’t wear😪
What😮😮even then
I can’t believe this
"
278,"Friend (Priyanka): Please stop the stomping 😅

Meghana: Damn, they must have been like what the hell is going on there

Friend (Priyanka): 😂😂😂
Indians only

Meghana: I had bought on Myntra...actually I had bought more festive sets, but I think In my mind I kind of knew I wouldn’t take pics, so I didn’t wear😪
What😮😮even then
I can’t believe this

Friend (Priyanka): Hmm
So no more dancing 😅

","No more Bharatanatyam at least😂
They came all the way to your house to say that?
Old people?
"
279,"Friend (Priyanka): 😂😂😂
Indians only

Meghana: I had bought on Myntra...actually I had bought more festive sets, but I think In my mind I kind of knew I wouldn’t take pics, so I didn’t wear😪
What😮😮even then
I can’t believe this

Friend (Priyanka): Hmm
So no more dancing 😅

Meghana: No more Bharatanatyam at least😂
They came all the way to your house to say that?
Old people?

Friend (Priyanka): Everything else has my interest now cooking dancing painting
I'm so tired of the hopeless job hunt

","Which is a good thing no🤔
"
280,"Friend (Priyanka): Hmm
So no more dancing 😅

Meghana: No more Bharatanatyam at least😂
They came all the way to your house to say that?
Old people?

Friend (Priyanka): Everything else has my interest now cooking dancing painting
I'm so tired of the hopeless job hunt

Meghana: Which is a good thing no🤔

Friend (Priyanka): No.. said he had meetings
Ya

","Yeah, it must be a bad phase😵 but good things take time ennallae😎
Oh😑
"
281,"Friend (Priyanka): Everything else has my interest now cooking dancing painting
I'm so tired of the hopeless job hunt

Meghana: Which is a good thing no🤔

Friend (Priyanka): No.. said he had meetings
Ya

Meghana: Yeah, it must be a bad phase😵 but good things take time ennallae😎
Oh😑

Friend (Priyanka): True
My friends came for lunch

","And you have almost 3 more months, by then something will come by
Yeah, velliamma was saying
"
282,"Friend (Priyanka): No.. said he had meetings
Ya

Meghana: Yeah, it must be a bad phase😵 but good things take time ennallae😎
Oh😑

Friend (Priyanka): True
My friends came for lunch

Meghana: And you have almost 3 more months, by then something will come by
Yeah, velliamma was saying

Friend (Priyanka): Hmm hopefully

","UPS is not working, so using my data
"
283,"Friend (Priyanka): True
My friends came for lunch

Meghana: And you have almost 3 more months, by then something will come by
Yeah, velliamma was saying

Friend (Priyanka): Hmm hopefully

Meghana: UPS is not working, so using my data

Friend (Priyanka): Oh
That explains the heat

","Yes😭😭😵
"
284,"Friend (Priyanka): Hmm hopefully

Meghana: UPS is not working, so using my data

Friend (Priyanka): Oh
That explains the heat

Meghana: Yes😭😭😵

Friend (Priyanka): 😂

","😪😪😪😪
Did they like what you cooked?
"
285,"Friend (Priyanka): Oh
That explains the heat

Meghana: Yes😭😭😵

Friend (Priyanka): 😂

Meghana: 😪😪😪😪
Did they like what you cooked?

Friend (Priyanka): Yo
Ate like crazy

","Really?🧐
"
286,"Friend (Priyanka): 😂

Meghana: 😪😪😪😪
Did they like what you cooked?

Friend (Priyanka): Yo
Ate like crazy

Meghana: Really?🧐

Friend (Priyanka): 😏

","Vishwasikkam thalkaalam😏
"
287,"Friend (Priyanka): Yo
Ate like crazy

Meghana: Really?🧐

Friend (Priyanka): 😏

Meghana: Vishwasikkam thalkaalam😏

Friend (Priyanka): Should had got reviews
Ask sayak if you want

","That I can do, correct 🤔
"
288,"Friend (Priyanka): 😏

Meghana: Vishwasikkam thalkaalam😏

Friend (Priyanka): Should had got reviews
Ask sayak if you want

Meghana: That I can do, correct 🤔

Friend (Priyanka): Leave 😂
He will eat your head and inturn mine

","Oh also, one doubt I had, he was the one who was gay no🤔
"
289,"Friend (Priyanka): Should had got reviews
Ask sayak if you want

Meghana: That I can do, correct 🤔

Friend (Priyanka): Leave 😂
He will eat your head and inturn mine

Meghana: Oh also, one doubt I had, he was the one who was gay no🤔

Friend (Priyanka): 😂
That's Varun

","He has sent some video, checked 😂
Oh😮😮😂😂Maari poyi
"
290,"Friend (Priyanka): Leave 😂
He will eat your head and inturn mine

Meghana: Oh also, one doubt I had, he was the one who was gay no🤔

Friend (Priyanka): 😂
That's Varun

Meghana: He has sent some video, checked 😂
Oh😮😮😂😂Maari poyi

Friend (Priyanka): Oh, then ask about food
He has a girlfriend

","Aah, I’ll reply to that and ask about food
"
291,"Friend (Priyanka): 😂
That's Varun

Meghana: He has sent some video, checked 😂
Oh😮😮😂😂Maari poyi

Friend (Priyanka): Oh, then ask about food
He has a girlfriend

Meghana: Aah, I’ll reply to that and ask about food

Friend (Priyanka): Ok 😛

","Oh😮, then wokay, I can talk to him properly now...
I get really awkward otherwise😎
"
292,"Friend (Priyanka): Oh, then ask about food
He has a girlfriend

Meghana: Aah, I’ll reply to that and ask about food

Friend (Priyanka): Ok 😛

Meghana: Oh😮, then wokay, I can talk to him properly now...
I get really awkward otherwise😎

Friend (Priyanka): 😂😂
He might flirt to get some response from you
So that he can irritate me

","That he won’t, I’m the worst flirt people have told me😂😎
"
293,"Friend (Priyanka): Ok 😛

Meghana: Oh😮, then wokay, I can talk to him properly now...
I get really awkward otherwise😎

Friend (Priyanka): 😂😂
He might flirt to get some response from you
So that he can irritate me

Meghana: That he won’t, I’m the worst flirt people have told me😂😎

Friend (Priyanka): 😂
Ok

","Yeah, I have some talents like that😎
"
294,"Friend (Priyanka): 😂😂
He might flirt to get some response from you
So that he can irritate me

Meghana: That he won’t, I’m the worst flirt people have told me😂😎

Friend (Priyanka): 😂
Ok

Meghana: Yeah, I have some talents like that😎

Friend (Priyanka): The guys only?

","Guys only😂😂
"
295,"Friend (Priyanka): 😂
Ok

Meghana: Yeah, I have some talents like that😎

Friend (Priyanka): The guys only?

Meghana: Guys only😂😂

Friend (Priyanka): 🙏🏼
Mahesh video called Velliachan 😇

","I don’t respond and later if we happen to get close they are like “omg, it’s so hard to even flirt with you, you don’t give any response”
"
296,"Friend (Priyanka): The guys only?

Meghana: Guys only😂😂

Friend (Priyanka): 🙏🏼
Mahesh video called Velliachan 😇

Meghana: I don’t respond and later if we happen to get close they are like “omg, it’s so hard to even flirt with you, you don’t give any response”

Friend (Priyanka): 😂
Do same with this guy

","I know🤭🤭🤭🤭
Velliachan did not take a screenshot 😭😭
Yes😎this is my A game😂
"
297,"Friend (Priyanka): 🙏🏼
Mahesh video called Velliachan 😇

Meghana: I don’t respond and later if we happen to get close they are like “omg, it’s so hard to even flirt with you, you don’t give any response”

Friend (Priyanka): 😂
Do same with this guy

Meghana: I know🤭🤭🤭🤭
Velliachan did not take a screenshot 😭😭
Yes😎this is my A game😂

Friend (Priyanka): I'm so grateful

","Velliachan and velliamma look very happy in this no🤩
"
298,"Friend (Priyanka): 😂
Do same with this guy

Meghana: I know🤭🤭🤭🤭
Velliachan did not take a screenshot 😭😭
Yes😎this is my A game😂

Friend (Priyanka): I'm so grateful

Meghana: Velliachan and velliamma look very happy in this no🤩

Friend (Priyanka): I know right ❤️❤️❤️❤️

","Next year we will have a new member for onam🤭🤭🤩
"
299,"Friend (Priyanka): I'm so grateful

Meghana: Velliachan and velliamma look very happy in this no🤩

Friend (Priyanka): I know right ❤️❤️❤️❤️

Meghana: Next year we will have a new member for onam🤭🤭🤩

Friend (Priyanka): Joli kuli illa mole

","Appozhekkum aavum😎
"
300,"Friend (Priyanka): I know right ❤️❤️❤️❤️

Meghana: Next year we will have a new member for onam🤭🤭🤩

Friend (Priyanka): Joli kuli illa mole

Meghana: Appozhekkum aavum😎

Friend (Priyanka): Ninde naavu ponnavate

","Yes, ponnanu🤭
Aayal mathiyayirunnu
"
301,"Friend (Priyanka): Joli kuli illa mole

Meghana: Appozhekkum aavum😎

Friend (Priyanka): Ninde naavu ponnavate

Meghana: Yes, ponnanu🤭
Aayal mathiyayirunnu

Friend (Priyanka): Adhe stinking gold

","I have to get in shape by the time of your wedding 😎
"
302,"Friend (Priyanka): Ninde naavu ponnavate

Meghana: Yes, ponnanu🤭
Aayal mathiyayirunnu

Friend (Priyanka): Adhe stinking gold

Meghana: I have to get in shape by the time of your wedding 😎

Friend (Priyanka): 🙏🏼

","Not after I brush my teeth🤭
"
303,"Friend (Priyanka): Adhe stinking gold

Meghana: I have to get in shape by the time of your wedding 😎

Friend (Priyanka): 🙏🏼

Meghana: Not after I brush my teeth🤭

Friend (Priyanka): This fellow has asked me to go for jogging

","😂😂then go no
Correct, the fresh air and exercise is good
"
304,"Friend (Priyanka): 🙏🏼

Meghana: Not after I brush my teeth🤭

Friend (Priyanka): This fellow has asked me to go for jogging

Meghana: 😂😂then go no
Correct, the fresh air and exercise is good

Friend (Priyanka): Hmm
Nokatte

","It’s good for mental health also🤔
You should try actually
"
305,"Friend (Priyanka): This fellow has asked me to go for jogging

Meghana: 😂😂then go no
Correct, the fresh air and exercise is good

Friend (Priyanka): Hmm
Nokatte

Meghana: It’s good for mental health also🤔
You should try actually

Friend (Priyanka): True

","Chinnu and I were wondering if we should hit the gym🤔
"
306,"Friend (Priyanka): Hmm
Nokatte

Meghana: It’s good for mental health also🤔
You should try actually

Friend (Priyanka): True

Meghana: Chinnu and I were wondering if we should hit the gym🤔

Friend (Priyanka): Ohoo
I would say yes.. Paisa poyal engilum exercise cheyi

","Njanum athu thanneya vicharichathu🤔🤭🤭
Angane Enkilum onnum anangiyaal nallathallae
Njan thalkaalam poyittenna brush cheyyatte
No sleep?🤔
"
307,"Friend (Priyanka): True

Meghana: Chinnu and I were wondering if we should hit the gym🤔

Friend (Priyanka): Ohoo
I would say yes.. Paisa poyal engilum exercise cheyi

Meghana: Njanum athu thanneya vicharichathu🤔🤭🤭
Angane Enkilum onnum anangiyaal nallathallae
Njan thalkaalam poyittenna brush cheyyatte
No sleep?🤔

Friend (Priyanka): Going to
Appo Sheri

","Appo sheri, good night😚😚
Love you😚😚
"
308,"Friend (Priyanka): Ohoo
I would say yes.. Paisa poyal engilum exercise cheyi

Meghana: Njanum athu thanneya vicharichathu🤔🤭🤭
Angane Enkilum onnum anangiyaal nallathallae
Njan thalkaalam poyittenna brush cheyyatte
No sleep?🤔

Friend (Priyanka): Going to
Appo Sheri

Meghana: Appo sheri, good night😚😚
Love you😚😚

Friend (Priyanka): 😘

refer me for this

","Done
But this one is Bangalore no🤔
"
309,"Friend (Priyanka): Going to
Appo Sheri

Meghana: Appo sheri, good night😚😚
Love you😚😚

Friend (Priyanka): 😘

refer me for this

Meghana: Done
But this one is Bangalore no🤔

Friend (Priyanka): Ya
Just seeing
Hey

","Hey hey
"
310,"Friend (Priyanka): 😘

refer me for this

Meghana: Done
But this one is Bangalore no🤔

Friend (Priyanka): Ya
Just seeing
Hey

Meghana: Hey hey

Friend (Priyanka): Oh my God
You replied

","Yes😂😂, phone is right next to me as I am studying 😂
"
311,"Friend (Priyanka): Ya
Just seeing
Hey

Meghana: Hey hey

Friend (Priyanka): Oh my God
You replied

Meghana: Yes😂😂, phone is right next to me as I am studying 😂

Friend (Priyanka): Wow
Exams started?

","Today😪
What’s up?
"
312,"Friend (Priyanka): Oh my God
You replied

Meghana: Yes😂😂, phone is right next to me as I am studying 😂

Friend (Priyanka): Wow
Exams started?

Meghana: Today😪
What’s up?

Friend (Priyanka): There was a role in Cisco US I want you to refer me to

","Which one?
"
313,"Friend (Priyanka): Wow
Exams started?

Meghana: Today😪
What’s up?

Friend (Priyanka): There was a role in Cisco US I want you to refer me to

Meghana: Which one?

Friend (Priyanka): 1295849

","Will do it now, one sec, will open the portal
"
314,"Friend (Priyanka): There was a role in Cisco US I want you to refer me to

Meghana: Which one?

Friend (Priyanka): 1295849

Meghana: Will do it now, one sec, will open the portal

Friend (Priyanka): The one you sent me yesterday maynot be suitable
It's ok if you do later also

","Experience?
"
315,"Friend (Priyanka): 1295849

Meghana: Will do it now, one sec, will open the portal

Friend (Priyanka): The one you sent me yesterday maynot be suitable
It's ok if you do later also

Meghana: Experience?

Friend (Priyanka): I'm guessing low pay

","Oh , the new grad one?
"
316,"Friend (Priyanka): The one you sent me yesterday maynot be suitable
It's ok if you do later also

Meghana: Experience?

Friend (Priyanka): I'm guessing low pay

Meghana: Oh , the new grad one?

Friend (Priyanka): Ya
I might be overqualified also
Also check 1299494

","Oh😮true, yeah, they won’t consider the application then
this one says ""not considered at this point""
I had already referred you for this🤔the portal says
just checked
for both I had already referred
"
317,"Friend (Priyanka): I'm guessing low pay

Meghana: Oh , the new grad one?

Friend (Priyanka): Ya
I might be overqualified also
Also check 1299494

Meghana: Oh😮true, yeah, they won’t consider the application then
this one says ""not considered at this point""
I had already referred you for this🤔the portal says
just checked
for both I had already referred

Friend (Priyanka): Ohh.. these are the old ones only? 🤦🏻‍♀️
Sorry
Vipul said there are new roles for grads
Didn't realize it's the same

","🤦🏾‍♀️🤦🏾‍♀️
How how👀
"
318,"Friend (Priyanka): Ya
I might be overqualified also
Also check 1299494

Meghana: Oh😮true, yeah, they won’t consider the application then
this one says ""not considered at this point""
I had already referred you for this🤔the portal says
just checked
for both I had already referred

Friend (Priyanka): Ohh.. these are the old ones only? 🤦🏻‍♀️
Sorry
Vipul said there are new roles for grads
Didn't realize it's the same

Meghana: 🤦🏾‍♀️🤦🏾‍♀️
How how👀

Friend (Priyanka): Enik vayya
Pretty pretty

","🤭🤭🤭
Thenk you🤭
"
